Last name;First name;Address ;IBAN;BIC;Bank;Balance;Timeout
Maes;John;20 rue des sables 1000 Bruxelles , Belgique;BE13285046066339;GEBABEBB;FORTIS;2000;0
Mertens;Allisson;12 avenue de l'étoile 1043 Bruxelles, Belgique;BE16001358531274;GEBABEBB;FORTIS;500;0
Wouters;Patrick;3 rue ternes 20170 Anvers, Belgique;BE09210096011157;GEBABEBB;FORTIS;300;0
Claes;Lydia;43 boulevard des champs 2140, Anvers Belgique;BE12001352189292;GEBABEBB;FORTIS;10000;0
Jacobs;Bert;02 rue des troubadours 4430 , Liège Belgique;BE40001701968363;GEBABEBB;FORTIS;50;0
Trouzers;Sherazade;31 avenue du tresor, 1043 Bruxelles, Belgique;BE58271036602879;GEBABEBB;FORTIS;1200;0
Obama;Jonathan;89 de la maison blanche, 4430, Liège Belgique;BE89210066807285;GEBABEBB;FORTIS;10;0
Nodzers;Willz;76 rue de l'independance, 1030 Bruxelles, Belgique;BE33001555622746;GEBABEBB;FORTIS;390;0
Wouters;Laurène;22 rue du zoo, 59370 Mons, Belgique;BE94001615691614;GEBABEBB;FORTIS;5876;6
Oz;Marie;63 rue de la paix, 59370 Mons, Belgique;BE83001615691715;GEBABEBB;FORTIS;470;0
